instance,parameter_set,generation,mean_best_so_far,std_best_so_far
la01,reference,0,729.6,15.007124744715368
la01,reference,1,722,15.183929798900252
la01,reference,2,714.1,15.844829462308995
la01,reference,3,707.2666666666667,13.960370841169961
la01,reference,4,703.8,13.509638959927322
la01,reference,5,700.6,12.554982525152974
la01,reference,6,693.3666666666667,11.177203812111117
la01,reference,7,689.3,10.31954957584273
la01,reference,8,686.7666666666667,10.656658379440149
la01,reference,9,685.2,10.46307134970251
la01,reference,10,683.1,10.567843221056394
la01,reference,11,680.6333333333333,10.029210211739725
la01,reference,12,678.5666666666667,8.020161376540196
la01,reference,13,676.5333333333333,7.4451249188627635
la01,reference,14,676.3666666666667,7.434696540120394
la01,reference,15,676.0333333333333,7.743666303250157
la01,reference,16,675.4,7.209189537881734
la01,reference,17,675.0333333333333,6.672038065990256
la01,reference,18,673.2333333333333,6.739913707282104
la01,reference,19,672.4333333333333,6.145833089811022
la01,reference,20,671.9333333333333,6.208633218090887
la01,reference,21,671.2,5.9154968893809645
la01,reference,22,671.2,5.9154968893809645
la01,reference,23,670.6666666666666,5.862407022030629
la01,reference,24,670.0333333333333,5.898470481657809
la01,reference,25,669.7333333333333,5.865935168606865
la01,reference,26,669.7333333333333,5.865935168606865
la01,reference,27,669.7333333333333,5.865935168606865
la01,reference,28,669.7333333333333,5.865935168606865
la01,reference,29,669.6666666666666,5.809227697102396
la01,reference,30,669.3666666666667,5.798235958451937
la01,reference,31,669,5.577046554930492
la01,reference,32,668.7666666666667,5.62435181450568
la01,reference,33,668.4333333333333,4.861412689057918
la01,reference,34,668.4333333333333,4.861412689057918
la01,reference,35,667.5333333333333,3.2027287216321985
la01,reference,36,667.1333333333333,2.738402924098761
la01,reference,37,666.8,1.8270005567822794
la01,reference,38,666.8,1.8270005567822794
la01,reference,39,666.8,1.8270005567822794
la01,reference,40,666.8,1.8270005567822794
la01,reference,41,666.8,1.8270005567822794
la01,reference,42,666.8,1.8270005567822794
la01,reference,43,666.8,1.8270005567822794
la01,reference,44,666.8,1.8270005567822794
la01,reference,45,666.7666666666667,1.813423763803275
la01,reference,46,666.7666666666667,1.813423763803275
la01,reference,47,666.7666666666667,1.813423763803275
la01,reference,48,666.7666666666667,1.813423763803275
la01,reference,49,666.7666666666667,1.813423763803275
la01,reference,50,666.7666666666667,1.813423763803275
la01,reference,51,666.6333333333333,1.711690701461939
la01,reference,52,666.6333333333333,1.711690701461939
la01,reference,53,666.6333333333333,1.711690701461939
la01,reference,54,666.6333333333333,1.711690701461939
la01,reference,55,666.6333333333333,1.711690701461939
la01,reference,56,666.6333333333333,1.711690701461939
la01,reference,57,666.6333333333333,1.711690701461939
la01,reference,58,666.6333333333333,1.711690701461939
la01,reference,59,666.6333333333333,1.711690701461939
la01,reference,60,666.6333333333333,1.711690701461939
la01,reference,61,666.6333333333333,1.711690701461939
la01,reference,62,666.6333333333333,1.711690701461939
la01,reference,63,666.6333333333333,1.711690701461939
la01,reference,64,666.6333333333333,1.711690701461939
la01,reference,65,666.6333333333333,1.711690701461939
la01,reference,66,666.6333333333333,1.711690701461939
la01,reference,67,666.6,1.6938020891595864
la01,reference,68,666.5666666666667,1.69549775690744
la01,reference,69,666.5666666666667,1.69549775690744
la01,reference,70,666.5666666666667,1.69549775690744
la01,reference,71,666.5666666666667,1.69549775690744
la01,reference,72,666.5666666666667,1.69549775690744
