job,operation,machine,start,finish
4,0,0,0,83
3,0,1,0,77
5,0,1,77,131
0,0,1,131,152
3,1,0,83,138
1,0,0,138,159
7,0,2,0,38
6,0,3,0,69
9,0,4,0,77
6,1,4,77,154
8,0,3,69,86
9,1,3,86,165
3,2,4,154,233
8,1,1,152,201
3,3,2,233,299
1,1,3,165,217
2,0,3,217,256
5,1,2,131,174
5,2,4,233,312
4,1,3,256,290
8,2,4,312,337
5,3,0,312,404
6,2,1,201,288
9,2,2,174,217
0,1,0,159,212
0,2,4,337,432
2,1,4,432,530
9,3,1,288,363
1,2,4,530,546
6,3,2,299,386
4,2,2,386,450
8,3,0,404,448
5,4,3,404,466
7,1,0,212,272
7,2,1,363,404
9,4,0,448,544
7,3,3,466,490
8,4,2,450,548
0,3,3,490,545
2,2,1,530,572
1,3,2,548,574
6,4,0,544,637
1,4,1,574,645
2,3,2,574,605
7,4,4,546,629
2,4,0,637,649
4,3,1,450,469
3,4,3,299,376
4,4,4,629,666
0,4,2,605,639
