job,operation,machine,start,finish
1,0,4,0,25
4,0,4,25,52
7,0,1,0,63
1,1,2,25,57
0,0,0,0,20
3,0,2,57,143
4,1,0,52,94
2,0,1,63,135
9,0,4,52,124
9,1,2,143,161
6,0,4,124,152
2,1,2,161,184
9,2,1,161,198
1,2,0,94,118
0,1,3,20,107
7,1,0,118,212
2,2,4,184,212
4,2,3,107,155
1,3,1,135,153
8,0,4,152,166
2,3,0,212,270
3,1,1,198,274
8,1,0,270,345
1,4,3,155,236
5,0,1,274,341
6,1,1,341,353
5,1,0,345,443
7,2,2,212,310
9,3,3,236,315
4,3,2,184,201
5,2,4,443,491
3,2,4,274,371
8,2,2,345,395
8,3,1,395,436
0,2,1,353,384
0,3,4,491,567
2,4,3,315,414
5,3,3,491,518
4,4,1,436,482
6,2,3,414,433
5,4,2,518,580
8,4,3,436,491
3,3,0,443,488
7,3,3,518,568
7,4,4,568,648
0,4,2,580,597
6,3,0,488,568
6,4,2,597,647
9,4,0,568,629
3,4,3,568,658
