job,operation,machine,start,finish
5,0,1,0,67
1,0,4,0,25
4,0,4,25,52
4,1,0,52,94
2,0,1,67,139
0,0,0,0,20
9,0,4,52,124
1,1,2,25,57
0,1,3,20,107
1,2,0,94,118
6,0,4,124,152
8,0,4,152,166
1,3,1,139,157
9,1,2,124,142
9,2,1,157,194
2,1,2,142,165
1,4,3,157,238
2,2,4,166,194
7,0,1,194,257
5,1,0,118,216
2,3,0,216,274
9,3,3,238,317
4,2,3,107,155
7,1,0,274,368
7,2,2,368,466
5,2,4,216,264
3,0,2,165,251
0,2,1,257,288
3,1,1,288,364
6,1,1,364,376
8,1,0,368,443
7,3,3,466,516
8,2,2,466,516
2,4,3,317,416
0,3,4,288,364
3,2,4,364,461
4,3,2,251,268
5,3,3,416,443
5,4,2,516,578
3,3,0,461,506
8,3,1,516,557
4,4,1,376,422
6,2,3,443,462
6,3,0,506,586
3,4,3,516,606
7,4,4,516,596
6,4,2,586,636
9,4,0,586,647
8,4,3,606,661
0,4,2,636,653
