generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,883,1005.08,883,0.004933922999953211
1,897,987.82,883,0.009380984000017634
2,852,972.2,852,0.013926606000495667
3,887,969.66,852,0.018658660000255622
4,865,961.6,852,0.02314609500081133
5,868,950.0,852,0.028164328000457317
6,868,926.8,852,0.03212927900040086
7,867,924.44,852,0.03686133300016081
8,869,923.24,852,0.04091534300005151
9,853,914.22,852,0.04589320200011571
10,859,922.22,852,0.0506976910000958
11,845,909.16,845,0.05465314200046123
12,836,900.02,836,0.05831291400045302
13,832,896.56,832,0.06247498300035659
14,823,887.76,823,0.06603619500037894
15,828,892.1,823,0.07044644500001596
16,836,890.72,823,0.07520224900054018
17,836,889.7,823,0.07903776500006643
18,834,881.12,823,0.08321645900014119
19,819,881.02,819,0.0870151650005937
20,832,882.96,819,0.092240017000222
21,819,879.6,819,0.09759430300073291
22,808,869.78,808,0.10246054000072036
23,806,865.8,806,0.10711897100009082
24,810,864.7,806,0.11161234400060493
25,817,870.46,806,0.11625058800018451
26,808,865.26,806,0.12065608800003247
27,806,857.6,806,0.12541664100081107
28,811,865.68,806,0.12997176299995772
29,798,857.36,798,0.13462188100038475
30,808,859.34,798,0.13872814000023936
31,808,853.82,798,0.14322626300054253
32,808,863.56,798,0.1475308290000612
33,811,863.88,798,0.15183420700032002
34,797,849.06,797,0.15676338000048418
35,804,854.34,797,0.16055733500070346
36,808,854.58,797,0.1652098290005597
37,808,852.12,797,0.17004163000001427
38,808,839.84,797,0.17426188500030548
39,808,841.46,797,0.1790414380002403
40,808,833.48,797,0.18254090100072062
41,798,830.44,797,0.18672553300075379
42,798,825.92,797,0.1911488450004981
43,798,822.04,797,0.19547834800050623
44,808,817.38,797,0.19912149500032683
45,798,819.72,797,0.2035768690002442
46,798,814.82,797,0.20795505800015235
47,798,819.4,797,0.2119770070003142
48,798,814.54,797,0.21637300700058404
49,798,821.06,797,0.22049707800033502
50,797,819.22,797,0.2242375969999557
51,797,820.24,797,0.2284008550004728
52,798,822.64,797,0.23314834500069992
53,798,817.1,797,0.237622719000683
54,808,818.62,797,0.24194984700079658
55,808,815.0,797,0.24659402800079988
56,797,813.14,797,0.25129639500028134
57,801,816.68,797,0.2559512630004974
58,797,818.3,797,0.2605859450004573
59,797,815.24,797,0.2645722699999169
60,797,820.4,797,0.26858115600043675
61,808,823.04,797,0.2730674040003578
62,798,814.68,797,0.27738147000036406
63,798,812.22,797,0.2822655190002479
64,797,816.76,797,0.28634209200026817
65,798,818.24,797,0.29008379800052353
66,797,816.78,797,0.2940843730002598
67,797,811.58,797,0.29748646400003054
68,797,809.66,797,0.30028888500055473
69,797,813.86,797,0.30434527000033995
70,797,808.16,797,0.3078827330000422
71,794,810.38,794,0.31204242700005125
72,794,807.68,794,0.3160976250001113
73,797,808.62,794,0.31987851800022327
74,797,809.04,794,0.3241106490004313
75,797,806.06,794,0.32781554400025925
76,797,802.4,794,0.33262953300072695
77,797,812.88,794,0.3370647199999439
78,797,803.52,794,0.3409714850004093
79,797,801.78,794,0.34457307000047876
80,797,804.54,794,0.34817703099997743
81,797,802.64,794,0.3525944060002075
82,797,808.56,794,0.3567814130001352
83,797,802.06,794,0.36102185500021733
84,797,801.3,794,0.364983243000097
85,797,801.18,794,0.36906100300075195
86,797,806.26,794,0.3729190809999636
87,797,801.42,794,0.3769493420004437
88,797,800.96,794,0.38120522200006235
89,797,800.68,794,0.38469874800011894
90,797,801.9,794,0.3883787070008111
91,797,805.56,794,0.39270227199995134
92,797,800.68,794,0.3965401630002816
93,797,799.24,794,0.40004556400072033
94,797,803.14,794,0.40409601200008183
95,797,802.92,794,0.40794815300068876
96,797,800.3,794,0.4118192940004519
97,797,803.86,794,0.4160371750003833
98,797,807.4,794,0.4199878750005155
99,797,804.6,794,0.42449906000001647
100,797,807.8,794,0.4285506960004568
101,797,809.78,794,0.4325382080005511
102,797,804.88,794,0.43672284000058426
103,797,803.0,794,0.441152090000287
104,797,803.52,794,0.4452179750005598
105,797,802.62,794,0.44927436000034504
106,797,798.78,794,0.4531383760004246
107,797,802.0,794,0.45652740500008804
108,797,799.96,794,0.4607357860004413
109,797,801.98,794,0.4654393400005574
110,797,805.0,794,0.46963109700027417
111,797,802.96,794,0.4739368500004275
112,797,801.96,794,0.4774814370002787
113,797,806.42,794,0.4811364590004814
114,797,804.22,794,0.4850099750001391
115,797,805.44,794,0.4889440510005443
116,797,812.64,794,0.49306812200029526
117,784,806.26,784,0.4976576799999748
118,797,801.48,784,0.5016594410008111
119,797,799.92,784,0.5054284600000756
120,797,805.42,784,0.509648716000811
121,797,802.66,784,0.5137549740002214
122,797,803.34,784,0.5187043350006206
123,795,803.88,784,0.5225374760002524
124,795,803.42,784,0.5267019210004946
125,797,808.22,784,0.5311145460000262
126,797,800.88,784,0.5353359890004867
127,797,810.94,784,0.5399089219999951
128,797,807.7,784,0.5442882990000726
129,797,803.36,784,0.5486225510003351
130,797,802.6,784,0.5531076120005309
131,797,810.76,784,0.5570274390001941
132,797,813.78,784,0.5611978209999506
133,797,804.18,784,0.5653302040000199
134,797,800.16,784,0.5697974520007847
135,797,799.32,784,0.5733432270008052
136,797,800.48,784,0.5772868030007885
137,797,805.18,784,0.58126362800067
138,797,808.92,784,0.5856014430000869
139,797,809.06,784,0.5896875150001506
140,797,799.68,784,0.5932701010005985
141,797,800.42,784,0.5970759310002904
142,797,803.4,784,0.6010681930001738
143,797,802.1,784,0.6047742760001711
144,797,805.98,784,0.6091168410002865
145,797,810.78,784,0.6135710270000345
146,797,813.96,784,0.6178340320002462
147,797,811.64,784,0.6220590370003265
148,797,807.4,784,0.6261866710001414
149,797,801.06,784,0.6296006370002942
150,797,804.9,784,0.63355846200011
