generation,generation_best,generation_mean,best_so_far,elapsed_seconds
0,890,1015.45,890,0.0020091959995625075
1,898,976.3,890,0.003753586999664549
2,881,959.85,881,0.005190422999476141
3,895,956.15,881,0.006503763000182516
4,884,953.5,881,0.007894287999988592
5,864,950.6,864,0.009633928999392083
6,883,934.8,864,0.011127762999421975
7,875,923.0,864,0.012797342999874672
8,901,947.0,864,0.014856412999506574
9,890,936.75,864,0.016547366999475344
10,842,906.7,842,0.01833213200006867
11,852,908.35,842,0.02022495599976537
12,843,898.2,842,0.02183041299940669
13,855,912.2,842,0.023402619999615126
14,829,901.45,829,0.02518144699934055
15,829,901.1,829,0.027149081999596092
16,829,901.15,829,0.02879016299993964
17,829,879.65,829,0.03028756000003341
18,829,874.0,829,0.0318906419997802
19,829,851.35,829,0.03321941899957892
20,813,853.0,813,0.034405698999762535
21,813,851.05,813,0.03604321799957688
22,813,853.65,813,0.03810941199935769
23,813,831.8,813,0.0397884919993885
24,813,829.3,813,0.041085206999923685
25,813,830.95,813,0.04228098699968541
26,813,830.05,813,0.04394225499981985
27,813,821.35,813,0.04594076400007907
28,813,829.45,813,0.0478062759993918
29,813,831.7,813,0.049142176999339426
30,813,828.8,813,0.050922192000143696
31,813,830.55,813,0.05278651699973125
32,813,822.75,813,0.05425897699933557
33,813,826.8,813,0.05633229599970946
34,813,822.95,813,0.05818949599961343
35,813,826.55,813,0.060121507000076235
36,813,832.1,813,0.06215088999942964
37,813,824.05,813,0.06328135900002962
38,813,823.4,813,0.06520387000000483
39,813,833.35,813,0.06678557699979137
40,813,824.95,813,0.06844090799950209
41,813,824.75,813,0.0700368649995653
42,813,820.25,813,0.07141788999979326
43,813,813.0,813,0.07288322600015817
44,813,819.85,813,0.07452786900012143
45,813,813.0,813,0.07580558500012557
46,813,816.25,813,0.07692655499977263
47,813,814.95,813,0.07851182400008838
48,813,815.5,813,0.07999022199965111
49,813,826.95,813,0.08175836200007325
50,813,819.3,813,0.08324388399978488
51,813,818.5,813,0.08499064999978145
52,813,821.0,813,0.08703547000004619
53,813,830.0,813,0.08878104799987341
54,813,826.4,813,0.0904470659997969
55,813,824.5,813,0.09213920699949085
56,813,817.2,813,0.09399046999988059
57,813,816.3,813,0.09607091399993806
58,813,819.6,813,0.09792930200001138
59,813,818.0,813,0.09959888199955458
60,813,831.75,813,0.10143826999956218
61,813,822.1,813,0.10319334699943283
62,813,828.75,813,0.10457912299989403
63,813,835.8,813,0.10605514500002755
64,813,826.85,813,0.10790878299940232
65,813,824.6,813,0.10936461900018912
66,813,827.5,813,0.11084895400017558
67,813,822.7,813,0.11260284399941156
68,813,823.35,813,0.11405986699992354
69,813,831.7,813,0.11551926599986473
70,813,829.5,813,0.11735509099980845
71,813,816.95,813,0.11872661699999298
72,813,813.0,813,0.12001145700014604
73,813,819.4,813,0.12175347299944406
74,813,813.0,813,0.12330311899950175
75,813,821.7,813,0.12512588199933816
76,813,820.5,813,0.12694627000018954
77,813,826.35,813,0.12861466300000757
78,813,827.2,813,0.13024743200003286
79,813,819.75,813,0.1318932619997213
80,813,814.85,813,0.13335384799938765
81,813,829.15,813,0.13498067899945454
82,813,821.7,813,0.1368046299994603
83,813,820.2,813,0.1383305270001074
84,813,819.75,813,0.13998585699937394
85,813,813.45,813,0.14171837300000334
86,813,824.75,813,0.14362188399991282
87,811,813.8,811,0.14546602199970948
88,811,819.15,811,0.14700616800018906
89,811,814.9,811,0.1488372439998784
90,811,827.15,811,0.15066238199960935
91,811,825.25,811,0.15229989999988902
92,811,814.2,811,0.1535835529994074
93,811,815.05,811,0.15520207200006553
94,803,812.1,803,0.15694646300016757
95,801,818.75,801,0.15876566399947478
96,811,816.05,801,0.16028087299946492
97,811,818.75,801,0.16192195399980847
98,811,816.2,801,0.16373640499932662
99,811,819.85,801,0.16535729899987928
100,811,829.55,801,0.1669865049998407
101,811,821.05,801,0.16880095599935885
102,811,819.05,801,0.17063084399978834
103,811,821.6,801,0.17170312799953535
104,811,829.8,801,0.1732373369995912
105,811,821.9,801,0.174884354999449
106,811,816.1,801,0.17613713399987319
107,811,822.95,801,0.17795870999998442
108,811,826.05,801,0.17966153899942583
109,811,816.35,801,0.1811185619999378
110,811,819.15,801,0.18284989099993254
111,811,821.6,801,0.18422022899994772
112,811,819.05,801,0.1856938769997214
113,811,819.7,801,0.18722214799981884
114,811,818.9,801,0.18828493199998775
115,811,822.8,801,0.18976214199938113
116,811,817.3,801,0.1910564820000218
117,811,829.25,801,0.1926322519993846
118,811,826.3,801,0.19432439399952273
119,811,825.4,801,0.1954346769998665
120,811,816.35,801,0.19721825399938098
121,811,822.6,801,0.1986610269996163
122,811,822.9,801,0.20049210300021514
123,811,826.0,801,0.20253454799967585
124,811,817.05,801,0.20395000999997137
125,811,817.7,801,0.20542009499968117
