category,instance,parameter_set,run,seed,population_size,generations,crossover_probability,mutation_probability,reference_optimum,best_makespan,final_makespan,gap_percent,elapsed_seconds,time_to_best_seconds,convergence_generation,unique_evaluations,early_improvement_percent,late_improvement_percent
small,la01,reference,1,0,50,150,0.8,0.1,666,667,667,0.15015015015014122,0.451344388000507,0.14201680200039846,45,6086,8.367626886145406,0.0
small,la01,reference,2,1,50,150,0.8,0.1,666,666,666,0.0,0.3514972110006056,0.0732717959999718,24,5999,6.197183098591549,0.0
small,la01,reference,3,2,50,150,0.8,0.1,666,666,666,0.0,0.31089736899957643,0.03086458500001754,13,6131,10.843373493975903,0.0
small,la01,reference,4,3,50,150,0.8,0.1,666,666,666,0.0,0.3097953589995086,0.04020435499933228,18,5964,8.641975308641975,0.0
small,la01,reference,5,4,50,150,0.8,0.1,666,666,670,0.0,0.34010887800013734,0.08586532099980104,32,6079,8.011049723756907,0.0
small,la01,reference,6,5,50,150,0.8,0.1,666,666,666,0.0,0.32681702299942117,0.2052195539999957,95,5978,10.094212651413189,0.0
small,la01,reference,7,6,50,150,0.8,0.1,666,666,666,0.0,0.3192585210008474,0.0697020910001811,30,5965,9.140518417462483,0.0
small,la01,reference,8,7,50,150,0.8,0.1,666,666,666,0.0,0.3124006019997978,0.05502921700008301,25,6114,8.264462809917354,0.0
small,la01,reference,9,8,50,150,0.8,0.1,666,666,666,0.0,0.32164649500009546,0.035329601000739785,15,6044,9.75609756097561,0.0
small,la01,reference,10,9,50,150,0.8,0.1,666,666,675,0.0,0.32286487900000793,0.07434285499948601,32,6009,12.021136063408191,0.0
small,la01,reference,11,10,50,150,0.8,0.1,666,666,666,0.0,0.3121238200001244,0.05324674599978607,24,6080,8.264462809917354,0.0
small,la01,reference,12,11,50,150,0.8,0.1,666,666,666,0.0,0.31981168299989804,0.046585989000050176,20,5965,7.8838174273858925,0.0
small,la01,reference,13,12,50,150,0.8,0.1,666,666,666,0.0,0.3200064350003231,0.0405451289998382,18,6054,8.390646492434662,0.0
small,la01,reference,14,13,50,150,0.8,0.1,666,666,666,0.0,0.30957177200070873,0.03623684500053059,15,6067,8.264462809917354,0.0
small,la01,reference,15,14,50,150,0.8,0.1,666,666,675,0.0,0.3085159909996946,0.10739236399967922,51,6026,10.307898259705489,0.0
small,la01,reference,16,15,50,150,0.8,0.1,666,666,666,0.0,0.3072192300005554,0.040257738000036625,18,5895,9.51086956521739,0.0
small,la01,reference,17,16,50,150,0.8,0.1,666,666,666,0.0,0.32152633699934086,0.239942102999521,111,6013,7.489597780859917,0.0
small,la01,reference,18,17,50,150,0.8,0.1,666,667,668,0.15015015015014122,0.32505194199984544,0.08373003500037157,36,5973,9.986504723346828,0.0
small,la01,reference,19,18,50,150,0.8,0.1,666,666,666,0.0,0.31899802299994917,0.23613843300063309,110,6035,9.72972972972973,0.0
small,la01,reference,20,19,50,150,0.8,0.1,666,666,666,0.0,0.3202437190002456,0.14618110399987927,68,5986,9.742895805142084,0.0
small,la01,reference,21,20,50,150,0.8,0.1,666,675,675,1.3513513513513598,0.32220419900022534,0.07737447500039707,35,6043,4.929577464788732,0.0
small,la01,reference,22,21,50,150,0.8,0.1,666,666,666,0.0,0.3179980329996397,0.052321604999633564,23,6116,4.034582132564841,0.0
small,la01,reference,23,22,50,150,0.8,0.1,666,666,666,0.0,0.32271956500062515,0.04104265400019358,18,6084,10.0,0.0
small,la01,reference,24,23,50,150,0.8,0.1,666,666,670,0.0,0.3198041480000029,0.03637455899934139,16,6053,10.843373493975903,0.0
small,la01,reference,25,24,50,150,0.8,0.1,666,666,666,0.0,0.32286433199988096,0.024557658000048832,10,6003,7.5,0.0
small,la01,reference,26,25,50,150,0.8,0.1,666,666,666,0.0,0.32409934000042995,0.04410522200032574,19,6062,5.3977272727272725,0.0
small,la01,reference,27,26,50,150,0.8,0.1,666,666,666,0.0,0.3178351639999164,0.07762500100034231,35,5936,8.390646492434662,0.0
small,la01,reference,28,27,50,150,0.8,0.1,666,666,670,0.0,0.3271404369997981,0.05672128399965004,24,6066,5.128205128205129,0.0
small,la01,reference,29,28,50,150,0.8,0.1,666,667,667,0.15015015015014122,0.3241716689999521,0.14598857999953907,67,6049,8.867667121418826,0.0
small,la01,reference,30,29,50,150,0.8,0.1,666,666,666,0.0,0.32981819799988443,0.05372757900022407,23,6084,11.081441922563418,0.0
small,la01,smaller_population,1,0,20,150,0.8,0.1,666,678,692,1.8018018018018056,0.12157695200039598,0.06915564900009485,84,2267,5.075445816186557,0.0
small,la01,smaller_population,2,1,20,150,0.8,0.1,666,678,678,1.8018018018018056,0.12878868099960528,0.008452672999737842,9,2382,10.671936758893281,0.0
small,la01,smaller_population,3,2,20,150,0.8,0.1,666,670,670,0.6006006006006093,0.1257462889998351,0.02099512099994172,24,2333,10.307898259705489,0.0
small,la01,smaller_population,4,3,20,150,0.8,0.1,666,666,666,0.0,0.12487228299960407,0.03702171399982035,43,2333,7.956104252400548,0.0
small,la01,smaller_population,5,4,20,150,0.8,0.1,666,697,710,4.654654654654644,0.1263590420003311,0.016419657000369625,18,2323,9.597924773022049,0.0
small,la01,smaller_population,6,5,20,150,0.8,0.1,666,700,711,5.105105105105112,0.12109126200084575,0.009046427000612312,10,2233,10.371318822023047,0.0
small,la01,smaller_population,7,6,20,150,0.8,0.1,666,686,690,3.003003003003002,0.12127529200006393,0.016023029999814753,18,2224,7.422402159244265,0.0
small,la01,smaller_population,8,7,20,150,0.8,0.1,666,670,670,0.6006006006006093,0.12813313500009826,0.013579137000306218,14,2359,7.7134986225895315,0.0
small,la01,smaller_population,9,8,20,150,0.8,0.1,666,668,668,0.30030030030030463,0.12072309399991354,0.04437830400001985,53,2302,5.9620596205962055,0.0
small,la01,smaller_population,10,9,20,150,0.8,0.1,666,666,673,0.0,0.1196341510003549,0.02086567600053968,24,2243,12.021136063408191,0.0
small,la01,smaller_population,11,10,20,150,0.8,0.1,666,676,676,1.501501501501501,0.10906534300011117,0.04513593300089269,53,1977,5.234159779614325,0.0
small,la01,smaller_population,12,11,20,150,0.8,0.1,666,666,666,0.0,0.12004384099964227,0.11603006899986212,145,2182,7.607192254495159,0.14992503748125938
small,la01,smaller_population,13,12,20,150,0.8,0.1,666,682,682,2.4024024024023927,0.11025403800067579,0.023404565000419097,27,1939,9.428950863213812,0.0
small,la01,smaller_population,14,13,20,150,0.8,0.1,666,666,666,0.0,0.12543512000047485,0.02709533500001271,29,2288,10.483870967741936,0.0
small,la01,smaller_population,15,14,20,150,0.8,0.1,666,666,666,0.0,0.10308385900043504,0.021379865999733738,24,1740,10.843373493975903,0.0
small,la01,smaller_population,16,15,20,150,0.8,0.1,666,666,666,0.0,0.12731608800004324,0.029507150999961596,31,2340,14.064516129032258,0.0
small,la01,smaller_population,17,16,20,150,0.8,0.1,666,678,678,1.8018018018018056,0.12202574799994181,0.006182157000694133,6,2330,11.372549019607844,0.0
small,la01,smaller_population,18,17,20,150,0.8,0.1,666,703,703,5.555555555555558,0.11725197399937315,0.09226803399997152,115,2217,4.993252361673414,0.14204545454545456
small,la01,smaller_population,19,18,20,150,0.8,0.1,666,676,676,1.501501501501501,0.12460501100031252,0.018046529000457667,18,2286,10.817941952506596,0.0
small,la01,smaller_population,20,19,20,150,0.8,0.1,666,675,675,1.3513513513513598,0.12237131199981377,0.06661077699936868,80,2336,8.254397834912043,0.0
small,la01,smaller_population,21,20,20,150,0.8,0.1,666,670,670,0.6006006006006093,0.12063517900060106,0.09377260400015075,116,2290,8.71313672922252,1.6152716593245227
small,la01,smaller_population,22,21,20,150,0.8,0.1,666,689,689,3.453453453453448,0.12120399400009774,0.03786956800013286,45,2291,0.0,0.0
