category,instance,parameter_set,population_size,generations,crossover_probability,mutation_probability,reference_optimum,runs,best,worst,mean,std,mean_gap_percent,std_gap_percent,mean_elapsed_seconds,mean_time_to_best_seconds,mean_convergence_generation,mean_final_makespan,mean_early_improvement_percent,mean_late_improvement_percent,mean_unique_evaluations,std_elapsed_seconds
small,la01,reference,50,150,0.8,0.1,666,30,666,675,666.4,1.6525841832592434,0.06006006006005945,0.24813576325213982,0.32527849206671816,0.08173137600000094,35.666666666666664,667.4333333333333,8.569391414887468,0.0,6031.966666666666,0.02547503443318288
small,la01,smaller_population,20,150,0.8,0.1,666,30,666,703,675.5,11.364645723197583,1.4264264264264275,1.7064032617413778,0.12173304610011353,0.03716744000015145,43.93333333333333,678.7333333333333,8.504989367927884,0.1369961774385801,2236.733333333333,0.0060265278399800806
small,la01,lower_mutation,50,150,0.8,0.05,666,30,666,667,666.1,0.30512857662936466,0.015015015015014122,0.04581510159599798,0.3470183517332771,0.09139600389989937,33.2,667.1,8.551365211134252,0.05408062930186824,5966.833333333333,0.10530316637279731
small,la02,reference,50,150,0.8,0.1,655,30,661,695,674.5,8.295200107748228,2.977099236641222,1.2664427645417142,0.3226021779666856,0.1533612813667787,70,677.6333333333333,10.622041855356237,0.11339198534731411,6028.066666666667,0.007339448825554351
small,la02,smaller_population,20,150,0.8,0.1,655,30,663,749,707.0666666666667,20.513970568998754,7.949109414758273,3.1319039036639333,0.12181612936662228,0.05358678706673648,63.766666666666666,710.4,8.850352707146754,0.367161015290507,2203.6,0.006649707684916017
small,la02,lower_mutation,50,150,0.8,0.05,655,30,658,708,677.9,13.96880761578799,3.49618320610687,2.1326423840897664,0.3657731878332621,0.13353357066653188,55.266666666666666,680.1,10.266481268422659,0.1135165182459539,5955.166666666667,0.08000986521832991
medium,la16,reference,50,150,0.8,0.1,945,30,956,1001,981.7333333333333,6.669194922892885,3.887125220458556,0.7057349124754385,0.6208395259666759,0.16365501029989293,38.36666666666667,988.7666666666667,7.490089961293514,0.06682835464097311,6038.9,0.016956646767084003
medium,la16,smaller_population,20,150,0.8,0.1,945,30,978,1035,997.3666666666667,17.095035240825258,5.541446208112877,1.8089984381825674,0.24721731066665598,0.1003204701666012,59.7,1002.5,7.0748362406956335,0.40308714591240064,2326.1,0.004892538765759323
medium,la16,lower_mutation,50,150,0.8,0.05,945,30,979,1002,982.3333333333334,4.451526923879377,3.9506172839506184,0.47106105014596555,0.6655226442333515,0.14390407406660113,33.1,986.9333333333333,7.522815366276028,0.016886187098953058,5974.233333333334,0.18474799792355567
medium,la17,reference,50,150,0.8,0.1,784,30,784,816,800.8333333333334,7.38163300002963,2.1471088435374144,0.9415348214323512,0.6418639018332821,0.25591473209997273,58.733333333333334,805.4666666666667,9.244887718216546,0.0703069135187413,6042.9,0.016130522882450395
medium,la17,smaller_population,20,150,0.8,0.1,784,30,797,852,819.9,13.15517467347565,4.579081632653062,1.6779559532494446,0.2492120786333241,0.10211275660000561,59.8,823.0333333333333,8.722082599226923,0.16702436387833716,2319.633333333333,0.010276605270209184
medium,la17,lower_mutation,50,150,0.8,0.05,784,30,784,830,801.1666666666666,9.217985917097948,2.1896258503401356,1.1757635098339212,0.6370016604000436,0.2457856544666053,56.6,803.5666666666667,9.093236536272414,0.05463979648931426,5968.466666666666,0.025954388061681773
large,la31,reference,50,150,0.8,0.1,1784,30,1784,1810,1786.5333333333333,5.691695907095755,0.14200298953662185,0.31904125039774556,3.5515008633667096,2.2155526507333283,93.26666666666667,1789.3,6.508303716874062,0.07252312145881562,6026.5,0.22057481557705105
large,la31,smaller_population,20,150,0.8,0.1,1784,30,1784,1896,1834.7666666666667,28.12004234721554,2.8456651718983563,1.576235557579344,1.2796678399333057,0.757805825366601,88.1,1843.2666666666667,5.369819951787964,0.11226633026875292,2271.9,0.04474119266530806
large,la31,lower_mutation,50,150,0.8,0.05,1784,30,1784,1804,1785.8666666666666,4.6366853003748965,0.10463378176382616,0.2599038845501623,4.012713818033384,2.5310540513334367,95.43333333333334,1786.8333333333333,6.552411689791541,0.02236722430241021,5951.033333333334,1.1852139582880463
large,la32,reference,50,150,0.8,0.1,1850,30,1850,1883,1859.5333333333333,9.737001355771644,0.5153153153153145,0.5263243976092798,3.6117260516664524,3.112146655766537,128.5,1868.2,6.018362359923293,0.49760801076681027,6023.966666666666,0.4545118860464778
large,la32,smaller_population,20,150,0.8,0.1,1850,30,1887,1973,1923.1666666666667,24.421702238580444,3.9549549549549536,1.3200920128962415,1.3274379510668648,0.8194036008667657,92.63333333333334,1929.8333333333333,5.238664470017038,0.1522585734389641,2280.133333333333,0.06129708042352311
large,la32,lower_mutation,50,150,0.8,0.05,1850,30,1850,1890,1859.5,11.370712530368353,0.5135135135135127,0.6146331097496422,3.3996291702665986,3.063152577099966,134.66666666666666,1868.3666666666666,5.992198626392127,0.6254415349486582,5944.466666666666,0.10965245091701892
